Time [s],V1_1 [V],V1_2 [V],V1_3 [V],Average [V],σ_V [V],ln(Average),σ_ln
0,12.0,12.0,12.0,12.0,0.06,2.48,0.01
5,11.37,11.36,11.38,11.37,0.06,2.43,0.01
10,10.6,10.53,10.55,10.56,0.06,2.36,0.01
15,9.83,9.82,9.78,9.81,0.05,2.28,0.01
20,9.17,9.1,9.07,9.11,0.05,2.21,0.01
25,8.45,8.49,8.51,8.48,0.05,2.14,0.01
30,7.88,7.87,7.89,7.88,0.04,2.06,0.01
35,7.39,7.34,7.31,7.35,0.04,1.99,0.01
40,6.82,6.81,6.82,6.82,0.04,1.92,0.01
45,6.36,6.31,6.32,6.33,0.04,1.85,0.01
50,5.89,5.89,5.9,5.89,0.03,1.77,0.01
55,5.5,5.46,5.41,5.46,0.03,1.7,0.01
60,5.07,5.06,5.01,5.05,0.03,1.62,0.01
65,4.72,4.72,4.73,4.72,0.03,1.55,0.01
70,4.41,4.48,4.38,4.42,0.03,1.49,0.01
75,4.05,4.08,4.09,4.07,0.03,1.4,0.01
80,3.81,3.8,3.79,3.8,0.03,1.34,0.01
85,3.55,3.53,3.53,3.54,0.02,1.26,0.01
90,3.25,3.27,3.28,3.27,0.02,1.18,0.01
95,3.05,3.09,3.04,3.06,0.02,1.12,0.01
100,2.83,2.83,2.83,2.83,0.02,1.04,0.01
105,2.64,2.64,2.63,2.64,0.02,0.97,0.01
110,2.45,2.45,2.45,2.45,0.02,0.9,0.01
115,2.27,2.28,2.28,2.28,0.02,0.82,0.01
120,2.13,2.13,2.12,2.13,0.02,0.75,0.01
125,1.97,1.97,1.96,1.97,0.02,0.68,0.01
130,1.83,1.83,1.83,1.83,0.02,0.6,0.01
135,1.7,1.7,1.7,1.7,0.02,0.53,0.01
140,1.59,1.58,1.57,1.58,0.02,0.46,0.01
145,1.48,1.46,1.47,1.47,0.02,0.39,0.01
150,1.37,1.38,1.36,1.37,0.02,0.31,0.01
155,1.27,1.27,1.27,1.27,0.02,0.24,0.01
160,1.18,1.18,1.17,1.18,0.02,0.16,0.02
165,1.1,1.1,1.09,1.1,0.02,0.09,0.02
170,1.02,1.02,1.02,1.02,0.02,0.02,0.02
175,0.95,0.94,0.99,0.96,0.02,-0.04,0.02
